국가별수출입 실적,,,,,,
,,,,,,
"통계기준:수리일,조회구분:201908 ~202007 ,국가:전체",,,,,,
,,,,,,"단위:천 불(USD 1,000)"
2019.10,아랍에미리트 연합,"6,642","314,710",519,"970,120","-655,410"
2019.10,네덜란드,"8,228","280,603","9,607","163,405","117,199"
2019.10,이탈리아,"5,512","255,976","68,050","493,676","-237,699"
2019.10,프랑스,"5,753","254,439","16,908","480,959","-226,520"
2019.10,헝가리,"2,034","241,185","1,419","42,777","198,409"
2019.10,슬로바키아,"1,640","229,728","2,557","97,575","132,153"
2019.10,그리스,925,"212,141",445,"47,287","164,855"
2019.10,우즈베크,"2,063","209,297",108,"1,542","207,755"
2019.10,이라크,959,"204,395",32,"401,688","-197,293"
2019.10,파나마,983,"187,860",128,"5,352","182,508"
2019.10,스페인,"4,595","184,522","7,523","165,743","18,779"
2019.10,체코공화국,"2,594","169,272","4,238","71,794","97,478"
2019.10,벨기에,"1,966","167,295","2,528","108,667","58,628"
2019.10,슬로베니아,673,"158,156",383,"14,202","143,953"
2019.10,뉴질랜드,"2,497","153,898","38,296","92,236","61,662"
2019.10,쿠웨이트,797,"136,574",53,"593,718","-457,145"
2019.10,노르웨이,910,"133,351","2,494","96,768","36,583"
2019.10,이집트,"3,160","114,732",408,"7,936","106,796"
2019.10,콜롬비아,"1,525","111,517",675,"51,400","60,117"
2019.10,이스라엘,"2,184","106,507","1,448","56,405","50,102"
2019.10,칠레,"2,622","101,799","1,277","339,311","-237,512"
2019.10,방글라데시,"2,786","98,195","1,084","35,748","62,447"
2019.10,카자흐스탄,"1,505","96,900",62,"89,129","7,771"
2019.10,미얀마,"1,398","93,187","1,097","80,733","12,454"
2019.10,오스트리아,"2,798","88,507","5,602","145,786","-57,280"
2019.10,스웨덴,"1,473","86,819","4,240","148,039","-61,220"
2019.10,파키스탄,"1,839","72,985",680,"31,121","41,864"
2019.10,영령 캐이맨 군도,11,"67,609",0,0,"67,609"
2019.10,아일랜드,559,"65,989","1,388","102,136","-36,147"
2019.10,오만,890,"63,638",105,"222,397","-158,760"
2019.10,캄보디아,"3,338","62,421",589,"22,643","39,778"
2019.10,나이지리아,"1,001","60,656",91,"9,889","50,766"
2019.10,남아프리카공화국,"2,014","60,283","1,175","221,062","-160,779"
2019.10,페루,"1,408","59,067",606,"258,909","-199,842"
2019.10,토고,118,"58,978",25,"2,582","56,396"
2019.10,스위스,"1,243","57,810","4,378","257,565","-199,755"
2019.10,리비아,"11,892","56,238",2,752,"55,486"
2019.10,피지,104,"52,739",32,"1,662","51,076"
2019.10,루마니아,"1,139","52,205","3,789","42,346","9,859"
2019.10,요르단,"1,807","49,482",80,"10,047","39,435"
2019.10,라이베리아,64,"48,110",36,156,"47,954"
2019.10,포루투갈,876,"39,530","5,261","20,998","18,532"
2019.10,덴마크,"1,282","35,139","2,632","72,278","-37,138"
2019.10,푸에르토리코,167,"31,575",125,"15,882","15,693"
2019.10,리투아니아,400,"30,506",719,"5,300","25,206"
2019.10,모로코,400,"29,321",692,"9,538","19,783"
2019.10,에쿠아도르,525,"28,447",209,"7,394","21,053"
2019.10,카타르,715,"27,940",186,"774,160","-746,221"
2019.10,우크라이나,"2,896","27,530",305,"54,492","-26,962"
2019.10,알제리,316,"27,093",21,"113,755","-86,663"
2019.10,괌,386,"25,391",55,"4,525","20,866"
2019.10,몽골,"2,191","24,522",852,"4,046","20,476"
2019.10,도미니카 공화국,520,"23,475",126,"7,125","16,351"
2019.10,과테말라,"1,248","23,057",326,"6,843","16,215"
2019.10,바레인,355,"22,213",80,"41,345","-19,132"
2019.10,핀란드,797,"21,469","1,318","102,801","-81,331"
2019.10,아르헨티나,873,"19,076",469,"68,943","-49,867"
2019.10,이란,353,"18,716",43,"1,373","17,343"
2019.10,스리랑카,"1,165","18,007",417,"7,219","10,789"
2019.10,수단,634,"17,346",11,"1,387","15,959"
2019.10,시리아,613,"17,102",3,2,"17,100"
2019.10,불가리아,450,"16,626","1,118","33,255","-16,629"
2019.10,가나,"2,408","16,413",45,"4,219","12,195"
2019.10,케냐,352,"16,389",101,"3,520","12,869"
2019.10,키르기스스탄,"2,909","15,299",8,13,"15,286"
2019.10,온두라스,290,"14,997",135,"4,017","10,979"
2019.10,엘살바도르,186,"14,567",120,"3,003","11,565"
2019.10,탄자니아,397,"13,727",48,438,"13,289"
2019.10,세르비아,210,"13,449",160,"21,131","-7,682"
2019.10,크로아티아,213,"11,794",226,"2,218","9,576"
2019.10,코스타리카,314,"11,550",371,"10,327","1,223"
2019.10,레바논,245,"10,008",58,"2,258","7,750"
2019.10,우루과이,189,"9,064",65,"9,526",-461
2019.10,조지아,684,"8,913",123,"1,236","7,677"
2019.10,예맨,"1,174","8,594",57,"3,353","5,240"
2019.10,트리니다드 토바고,125,"8,428",31,"49,200","-40,771"
2019.10,파라과이,172,"7,874",46,"12,111","-4,237"
2019.10,모잠비크,99,"7,162",16,"25,732","-18,570"
2019.10,튀니지,222,"7,153",623,"3,111","4,043"
2019.10,아제르바이잔,277,"6,874",5,32,"6,842"
2019.10,코트디봐르,191,"6,871",7,502,"6,369"
2019.10,기타국,71,"6,749",550,"158,335","-151,585"
2019.10,니카라과,220,"6,434",73,"1,609","4,825"
2019.10,라트비아,286,"5,965",279,"7,991","-2,026"
2019.10,사이프러스,114,"5,216",40,190,"5,026"
2019.10,몰타,329,"5,008",134,"4,426",582
2019.10,이디오피아,101,"4,969",223,"5,885",-916
2019.10,모리셔스,180,"4,881",54,406,"4,475"
2019.10,말리,34,"4,708",2,434,"4,274"
2019.10,세네갈,177,"4,704",73,"2,898","1,806"
2019.10,파푸아 뉴기니,87,"4,636",31,"53,338","-48,702"
2019.10,라오스,146,"4,598",87,"4,009",589
2019.10,네팔,139,"4,559",85,489,"4,070"
2019.10,부르키나 파소,20,"4,544",0,3,"4,541"
2019.10,아프카니스탄,100,"4,522",9,7,"4,516"
2019.10,콩고민주공화국,46,"4,504",32,"21,338","-16,834"
2019.10,브루나이,132,"4,490",21,"60,635","-56,144"
2019.10,앙골라,156,"4,453",11,"1,304","3,149"
2019.10,베라루스,233,"4,220",44,"3,156","1,064"
2019.10,에스토니아,278,"4,101",238,"7,055","-2,953"
2019.10,아이티,113,"4,089",16,188,"3,901"
2019.10,팔레스타인 해방기구,105,"3,371",0,0,"3,371"
2019.10,우간다,45,"3,192",30,528,"2,663"
2019.10,마다카스카르,241,"3,022",60,"11,509","-8,487"
2019.10,볼리비아,105,"2,936",39,"42,020","-39,084"
2019.10,기니,166,"2,851",25,"2,036",816
2019.10,베네주엘라,44,"2,802",17,646,"2,155"
2019.10,타지크,759,"2,793",0,0,"2,793"
2019.10,자마이카,77,"2,784",17,227,"2,557"
2019.10,세이쉘,46,"2,756",5,"1,164","1,592"
2019.10,알바니아,75,"2,499",150,293,"2,205"
2019.10,룩셈부르그,109,"2,432",163,"4,314","-1,882"
2019.10,수리남,28,"2,330",4,140,"2,189"
2019.10,마카오,189,"2,225",104,150,"2,075"
2019.10,세인트 마틴,22,"2,080",0,0,"2,080"
2019.10,사모아,26,"2,077",7,148,"1,929"
2019.10,불령 리유니온 코모도 제도,21,"2,035",0,2,"2,033"
2019.10,뉴 칼레도니아,94,"2,026",22,"28,739","-26,713"
2019.10,불령 폴리네시아,69,"1,927",0,0,"1,927"
2019.10,카메룬,141,"1,760",16,269,"1,491"
2019.10,아이슬란드,32,"1,736",41,"1,376",359
2019.10,지부티,51,"1,408",15,"1,323",84
2019.10,마티니크,12,"1,400",0,0,"1,400"
2019.10,과델로프,19,"1,368",2,15,"1,353"
2019.10,북마리아나 군도,156,"1,333",11,248,"1,085"
2019.10,콩고,54,"1,312",11,478,834
2019.10,잠비아,50,"1,298",3,"1,747",-449
2019.10,가이아나,36,"1,221",0,0,"1,221"
2019.10,몰도바,91,"1,165",458,"1,770",-605
2019.10,소말리아,29,"1,162",8,"1,022",141
2019.10,아르메니아,124,"1,158",104,"3,643","-2,486"
2019.10,아메리칸 사모아,22,"1,079",5,960,118
2019.10,키리바티,47,"1,052",5,168,883
2019.10,리히텐슈타인,27,931,77,"4,597","-3,666"
2019.10,가봉,114,891,3,157,734
2019.10,쿠바,33,711,4,505,207
2019.10,모리타니,103,696,28,"3,015","-2,319"
2019.10,말라위,19,677,13,206,471
2019.10,안티가 바부다,10,674,4,"1,160",-486
2019.10,바베이도스,17,618,4,51,567
2019.10,몰디브,54,540,2,1,539
2019.10,투르크멘,32,537,0,0,537
2019.10,버뮤다,12,535,3,0,535
2019.10,나미비아,35,534,11,"4,352","-3,818"
2019.10,마이크로네시아,55,533,1,39,494
2019.10,베닝,19,493,6,487,6
2019.10,시에라 리온,16,489,12,"1,153",-663
2019.10,부탄,40,484,1,10,474
2019.10,아루바,30,462,0,0,462
2019.10,마세도니아,37,447,29,350,97
2019.10,솔로몬 군도,20,438,5,357,80
2019.10,바누아투,34,391,4,216,175
2019.10,루안다,27,367,12,192,175
2019.10,도미니카,9,357,3,51,306
2019.10,벨리제,7,325,2,3,322
2019.10,나우르,11,324,0,0,324
2019.10,상토메 프린스페,2,323,0,0,323
2019.10,보스니아-헤르체고비나,42,316,244,"3,311","-2,995"
2019.10,보츠와나,16,298,7,60,237
2019.10,감비아,57,264,6,285,-21
2019.10,니제르,8,263,1,23,240
2019.10,티모르,4,242,5,118,124
2019.10,세인트 빈센트 그레나딘,6,238,1,8,230
2019.10,팔라우,18,230,1,0,230
2019.10,짐바브웨,17,217,8,495,-279
2019.10,에리트리아,2,181,0,0,181
2019.10,지브랄타,24,181,0,0,181
2019.10,챠드,6,166,1,0,165
2019.10,그레나다,3,143,0,0,143
2019.10,카보 베르데,5,129,0,0,129
2019.10,세인트 루시아,6,121,1,0,121
2019.10,몬테네그로,8,98,2,0,98
2019.10,불령 가이아나,13,92,0,0,92
2019.10,세인트 키츠 네비스,7,85,2,0,85
2019.10,큐라소,10,80,0,0,80
2019.10,스와질랜드,12,61,8,321,-260
2019.10,네덜란드 열도,9,48,0,0,48
2019.10,적도 기니,4,37,2,501,-463
2019.10,투르크 & 카이코스 군도,3,35,2,0,34
2019.10,남수단,3,35,0,0,35
2019.10,안도라,3,33,10,35,-2
2019.10,영령 버진군도,3,31,0,0,31
2019.10,세인트 바르탤르미,3,26,0,0,26
2019.10,코모로스,6,22,1,6,16
2019.10,왈라스 & 퓨투나 군도,5,20,0,0,20
2019.10,앙귈라,6,16,1,0,15
2019.10,모나코,3,15,2,21,-6
2019.10,산마리노,3,11,5,620,-609
2019.10,부룬디,4,7,2,0,7
2019.10,파로에 군도,1,4,0,0,4
2019.10,중앙아프리카공화국,2,4,1,9,-6
2019.10,기네비소,2,3,0,0,3
2019.10,쿡 아일랜드,1,2,0,0,2
2019.10,미령 버진군도,3,1,4,11,-11
2019.10,그린랜드,3,1,2,54,-54
2019.10,메요트,0,0,0,3,-3
2019.10,피트카이른,0,0,1,0,0
2019.10,토켈라우,0,0,0,9,-9
2019.10,안타티카,0,0,3,538,-538
2019.10,크리스마스 아일랜드,0,0,1,0,0
2019.10,세인트 헬레나,0,0,1,0,0
2019.10,코스 군도,0,0,0,0,0
2019.10,니우에,0,0,1,6,-6
2019.10,저어지,1,0,1,0,0
2019.10,영령 인도양,0,0,0,0,0
2019.10,레소토,0,0,4,19,-19
2019.10,몬트세라트,0,0,1,10,-10
2019.10,통가,0,0,3,54,-54
2019.11,중국,"528,240","11,888,955","367,041","8,966,004","2,922,951"
2019.11,미국,"111,932","6,265,034","1,181,123","5,273,129","991,906"
2019.11,베트남,"57,839","4,052,033","35,559","1,600,625","2,451,409"
2019.11,홍콩,"26,316","2,454,636","24,699","161,674","2,292,963"
2019.11,일본,"139,765","2,410,613","131,752","3,523,164","-1,112,551"
2019.11,대만,"29,018","1,119,454","25,105","1,358,674","-239,220"
2019.11,인도,"17,499","1,038,294","8,922","462,664","575,631"
2019.11,싱가포르,"34,638","793,338","12,371","470,302","323,036"
2019.11,멕시코,"10,691","766,331","6,466","435,420","330,912"
2019.11,태국,"14,387","671,584","11,966","384,252","287,332"
2019.11,독일,"13,005","662,623","214,456","1,601,726","-939,103"
2019.11,호주,"11,199","660,667","52,716","1,479,839","-819,172"
2019.11,필리핀,"10,304","642,696","6,849","273,031","369,665"
2019.11,인도네시아,"21,943","612,984","7,064","620,690","-7,706"
2019.11,말레이시아,"14,507","598,023","11,502","756,641","-158,618"
2019.11,러시아 연방,"10,750","594,627","2,000","1,248,108","-653,481"
2019.11,카자흐스탄,"1,468","476,471",47,"119,097","357,374"
2019.11,폴란드,"6,900","460,466","3,181","61,442","399,024"
2019.11,터키,"5,903","409,870","3,503","124,190","285,681"
2019.11,캐나다,"9,396","393,447","16,776","503,393","-109,946"
2019.11,네덜란드,"8,407","352,246","11,609","259,653","92,594"
2019.11,사우디아라비아,"2,954","331,281",581,"1,682,833","-1,351,552"
2019.11,브라질,"7,851","317,972","1,877","465,989","-148,017"
2019.11,아랍에미리트 연합,"6,305","305,557",501,"835,384","-529,827"
2019.11,영국,"8,718","299,791","34,005","310,478","-10,688"
2019.11,이탈리아,"5,763","241,430","79,441","544,107","-302,677"
2019.11,우즈베크,"1,735","237,142",62,"1,176","235,966"
2019.11,프랑스,"5,535","237,012","17,969","459,132","-222,119"
2019.11,벨기에,"2,183","223,422","2,428","95,931","127,491"
2019.11,이스라엘,"2,391","221,074","1,683","66,442","154,632"
2019.11,헝가리,"1,915","214,034","1,492","46,187","167,847"
2019.11,스페인,"4,478","202,635","7,385","354,043","-151,409"
2019.11,마샬군도,39,"174,652",16,16,"174,636"
2019.11,슬로바키아,"1,465","173,797","2,005","74,474","99,323"
2019.11,파나마,946,"163,668",111,"2,569","161,099"
2019.11,체코공화국,"2,750","161,398","3,850","77,754","83,643"
2019.11,뉴질랜드,"1,939","139,394","48,315","77,772","61,622"
2019.11,슬로베니아,615,"135,835",416,"9,724","126,111"
2019.11,이라크,814,"131,461",31,"827,509","-696,048"
2019.11,토고,80,"131,050",40,"5,001","126,050"
2019.11,콜롬비아,"1,371","130,644",664,"66,857","63,787"
2019.11,방글라데시,"2,591","123,488",884,"27,270","96,218"
2019.11,라이베리아,65,"113,120",46,223,"112,897"
2019.11,그리스,923,"111,414",490,"33,794","77,620"
2019.11,쿠웨이트,773,"105,320",61,"928,014","-822,694"
2019.11,이집트,"3,598","104,123",478,"25,885","78,237"
2019.11,스웨덴,"1,291","98,798","4,943","174,181","-75,383"
2019.11,오만,852,"77,365",60,"178,662","-101,297"
2019.11,칠레,"2,106","68,642","1,298","205,181","-136,539"
2019.11,남아프리카공화국,"2,001","65,711",654,"128,013","-62,302"
2019.11,파키스탄,"1,718","62,441",672,"19,829","42,612"
2019.11,오스트리아,"2,842","62,411","4,926","111,555","-49,144"
2019.11,아일랜드,581,"62,247","1,555","123,480","-61,233"
2019.11,지브랄타,32,"59,274",0,0,"59,274"
2019.11,리비아,"11,297","57,393",2,251,"57,143"
2019.11,스위스,"1,403","54,724","4,350","253,691","-198,967"
2019.11,캄보디아,"2,852","53,656",628,"24,915","28,742"
2019.11,페루,"1,253","53,560",605,"192,097","-138,537"
2019.11,미얀마,"1,566","53,090",771,"38,867","14,223"
2019.11,피지,89,"52,551",35,"1,100","51,451"
2019.11,덴마크,"1,404","51,784","2,558","70,554","-18,769"
2019.11,노르웨이,766,"51,322","2,564","103,920","-52,598"
2019.11,나이지리아,899,"50,740",117,"72,310","-21,570"
2019.11,포루투갈,853,"50,571","6,370","18,759","31,812"
2019.11,루마니아,995,"46,089","5,489","34,401","11,687"
2019.11,바레인,306,"42,740",83,"20,583","22,156"
2019.11,요르단,"1,630","42,043",78,"3,987","38,056"
2019.11,알제리,288,"34,618",17,"147,334","-112,716"
2019.11,영령 캐이맨 군도,7,"32,995",0,0,"32,995"
2019.11,핀란드,721,"32,876","1,339","76,470","-43,594"
2019.11,튀니지,191,"29,443",843,"4,453","24,989"
2019.11,우크라이나,"3,336","27,552",329,"20,789","6,763"
2019.11,모로코,382,"25,652","1,216","15,974","9,678"
2019.11,아르헨티나,839,"23,974",358,"71,260","-47,286"
2019.11,에쿠아도르,449,"21,969",202,"7,820","14,149"
2019.11,도미니카 공화국,534,"21,611",115,"7,844","13,767"
2019.11,코트디봐르,131,"21,152",2,11,"21,141"
2019.11,몽골,"1,827","20,017",790,"2,363","17,654"
2019.11,푸에르토리코,249,"19,982",133,"19,875",107
2019.11,스리랑카,"1,058","19,285",415,"6,357","12,928"
2019.11,카타르,653,"18,740",163,"1,051,316","-1,032,576"
2019.11,과테말라,"1,097","16,527",270,"5,039","11,488"
2019.11,가나,"1,987","15,680",43,"4,986","10,694"
2019.11,리투아니아,375,"14,433",707,"5,751","8,682"
2019.11,수단,568,"14,052",13,"2,237","11,815"
2019.11,이란,266,"13,984",38,581,"13,404"
2019.11,엘살바도르,202,"13,665",91,"1,712","11,953"
2019.11,불가리아,454,"13,373","1,702","28,506","-15,134"
2019.11,시리아,757,"13,156",4,7,"13,149"
2019.11,아제르바이잔,262,"13,134",6,40,"13,095"
2019.11,세르비아,231,"12,597",143,"15,274","-2,677"
2019.11,키르기스스탄,"1,821","11,785",4,5,"11,780"
2019.11,탄자니아,361,"11,544",40,"2,924","8,619"
2019.11,괌,419,"11,171",48,359,"10,813"
2019.11,케냐,280,"9,945",88,"2,634","7,312"
2019.11,에스토니아,313,"8,954",297,"4,576","4,378"
2019.11,온두라스,337,"8,895",91,"2,889","6,005"
2019.11,예맨,"1,385","8,894",70,"4,103","4,791"
2019.11,크로아티아,208,"8,853",226,"1,322","7,532"
2019.11,코스타리카,354,"8,045",386,"7,106",939
2019.11,파라과이,172,"7,444",39,"18,003","-10,559"
2019.11,우루과이,184,"7,282",60,"8,730","-1,448"
2019.11,이디오피아,106,"6,860",159,"4,433","2,427"
2019.11,조지아,526,"6,721",91,"1,186","5,535"
2019.11,트리니다드 토바고,87,"5,655",51,"25,321","-19,667"
2019.11,라트비아,287,"5,278",228,"6,393","-1,115"
2019.11,니카라과,175,"5,158",76,"1,650","3,508"
2019.11,세네갈,157,"4,996",77,"3,501","1,495"
2019.11,아이슬란드,78,"4,891",42,"1,219","3,672"
2019.11,레바논,126,"4,859",57,"1,883","2,976"
2019.11,라오스,184,"4,388",83,"2,400","1,988"
2019.11,모잠비크,68,"4,281",15,"24,177","-19,895"
2019.11,알바니아,120,"4,253",260,271,"3,983"
2019.11,팔레스타인 해방기구,88,"4,240",0,0,"4,240"
2019.11,베라루스,274,"3,955",50,"2,307","1,648"
2019.11,팔라우,28,"3,726",1,95,"3,630"
2019.11,몰타,328,"3,591",141,"4,312",-721
2019.11,기타국,38,"3,582",635,"306,433","-302,850"
2019.11,타지크,940,"3,567",0,0,"3,567"
2019.11,아프카니스탄,64,"3,373",1,2,"3,371"
2019.11,자마이카,66,"3,107",8,290,"2,817"
2019.11,브루나이,118,"3,073",17,"19,810","-16,736"
2019.11,마카오,361,"3,042",104,176,"2,865"
2019.11,사이프러스,128,"3,042",32,482,"2,559"
2019.11,마다카스카르,297,"3,027",77,"13,388","-10,361"
2019.11,루안다,43,"3,012",9,190,"2,822"
2019.11,네팔,138,"2,967",107,277,"2,690"
2019.11,앙골라,134,"2,943",8,707,"2,236"
2019.11,아이티,74,"2,772",11,234,"2,539"
2019.11,파푸아 뉴기니,59,"2,710",30,"57,717","-55,008"
2019.11,불령 폴리네시아,56,"2,633",1,0,"2,632"
2019.11,사모아,33,"2,590",6,53,"2,537"
2019.11,부르키나 파소,24,"2,332",0,1,"2,330"
2019.11,잠비아,62,"2,222",3,"1,685",537
2019.11,모리셔스,150,"2,153",64,476,"1,677"
2019.11,지부티,62,"2,099",7,649,"1,450"
2019.11,쿠바,36,"2,011",3,677,"1,334"
2019.11,룩셈부르그,102,"1,772",187,"4,059","-2,287"
2019.11,콩고민주공화국,25,"1,753",41,"39,328","-37,575"
2019.11,우간다,47,"1,704",37,972,732
2019.11,소말리아,26,"1,618",3,346,"1,272"
2019.11,불령 리유니온 코모도 제도,27,"1,514",2,47,"1,467"
2019.11,뉴 칼레도니아,70,"1,421",23,"34,273","-32,852"
2019.11,시에라 리온,9,"1,419",7,621,798
2019.11,솔로몬 군도,19,"1,412",4,"1,762",-350
2019.11,기니,121,"1,389",23,"2,143",-754
2019.11,베네주엘라,40,"1,380",29,"2,933","-1,552"
2019.11,카메룬,116,"1,331",15,248,"1,083"
2019.11,콩고,27,"1,293",4,194,"1,100"
2019.11,북마리아나 군도,150,"1,216",5,157,"1,059"
2019.11,리히텐슈타인,35,"1,113",64,"2,695","-1,583"
2019.11,세이쉘,29,"1,088",16,726,362
2019.11,말리,29,"1,075",0,0,"1,074"
2019.11,수리남,21,"1,060",8,247,813
2019.11,가이아나,44,"1,044",0,0,"1,044"
2019.11,볼리비아,77,986,22,"38,205","-37,219"
2019.11,아루바,26,984,0,0,984
2019.11,마세도니아,33,982,19,109,873
2019.11,몰도바,110,981,341,"1,530",-550
2019.11,바베이도스,15,980,3,50,929
2019.11,바하마,36,942,4,2,940
2019.11,세인트 마틴,9,882,0,0,882
2019.11,과델로프,15,854,2,18,836
2019.11,가봉,73,845,4,"28,342","-27,498"
2019.11,바누아투,55,810,10,649,161
2019.11,버뮤다,12,797,0,0,797
2019.11,아르메니아,67,789,146,"3,444","-2,655"
2019.11,안티가 바부다,13,757,0,0,757
2019.11,큐라소,24,700,0,0,700
2019.11,베닝,10,688,4,22,666
2019.11,아메리칸 사모아,16,598,3,7,592
2019.11,키리바티,32,583,1,169,414
2019.11,마티니크,11,571,1,22,549
2019.11,마이크로네시아,47,539,1,22,517
2019.11,나미비아,16,515,15,6,509
2019.11,보스니아-헤르체고비나,36,502,299,"2,654","-2,152"
2019.11,짐바브웨,20,427,4,194,233
2019.11,불령 가이아나,13,385,1,1,384
2019.11,말라위,13,370,20,133,237
2019.11,모리타니,11,306,18,"2,379","-2,074"
2019.11,투르크멘,26,284,1,0,284
2019.11,세인트 루시아,12,273,0,0,273
2019.11,감비아,34,265,2,1,264
2019.11,투르크 & 카이코스 군도,9,254,0,0,254
2019.11,몰디브,44,248,1,22,227
2019.11,벨리제,9,241,1,1,240
2019.11,보츠와나,14,181,7,65,116
2019.11,상토메 프린스페,4,175,1,2,173
2019.11,기네비소,7,172,0,0,172
2019.11,스와질랜드,23,169,7,286,-117
2019.11,세인트 바르탤르미,3,167,0,0,167
2019.11,몬테네그로,14,155,6,52,103
2019.11,부룬디,7,154,3,8,145
2019.11,네덜란드 열도,9,146,0,0,146
2019.11,카보 베르데,7,139,0,0,139
2019.11,부탄,39,118,0,0,118
2019.11,니제르,5,97,1,0,97
2019.11,그레나다,3,81,0,0,81
2019.11,도미니카,13,71,1,4,66
2019.11,세인트 빈센트 그레나딘,4,44,0,0,44
2019.11,남수단,2,34,1,1,34
2019.11,세인트마틴(생마르탱),2,34,0,0,34
2019.11,안도라,10,28,8,5,23
2019.11,세인트 키츠 네비스,1,25,3,0,25
2019.11,투발루,1,24,1,0,24
2019.11,챠드,4,20,1,0,20
2019.11,나우르,1,16,1,0,16
2019.11,메요트,1,14,0,0,14
2019.11,산마리노,1,12,10,413,-401
2019.11,왈라스 & 퓨투나 군도,1,12,0,0,12
2019.11,티모르,4,11,1,10,1
2019.11,중앙아프리카공화국,2,7,3,43,-36
2019.11,영령 버진군도,2,6,0,0,6
2019.11,코모로스,2,6,0,0,6
2019.11,통가,1,4,17,"1,402","-1,398"
2019.11,모나코,2,3,3,121,-118
2019.11,적도 기니,1,3,2,"32,479","-32,476"
2019.11,에리트리아,2,3,2,"15,833","-15,830"
2019.11,토켈라우,2,2,0,0,2
2019.11,앙귈라,2,1,1,0,1
2019.11,레소토,1,0,5,12,-12
2019.11,쿡 아일랜드,0,0,1,56,-56
2019.11,몬트세라트,0,0,0,5,-5
2019.11,크리스마스 아일랜드,0,0,0,0,0
2019.11,맨섬,0,0,1,0,0
2019.11,남조지아 & 남샌드위치 군도,0,0,0,3,-3
2019.11,그린랜드,1,0,0,13,-13
2019.11,건지,3,0,0,0,0
2019.11,미령 버진군도,2,0,2,2,-2
2019.12,중국,"235,462","12,296,986","375,729","9,023,873","3,273,112"
2019.12,미국,"89,297","6,418,400","1,177,571","5,871,143","547,257"
2019.12,베트남,"57,295","3,879,352","36,530","1,520,814","2,358,538"
2019.12,홍콩,"25,207","2,609,215","25,438","113,192","2,496,023"
2019.12,일본,"131,813","2,296,481","132,851","3,925,130","-1,628,648"
2019.12,대만,"28,823","1,447,152","25,496","1,503,714","-56,562"
2019.12,싱가포르,"36,458","1,098,868","11,782","690,902","407,966"
2019.12,인도,"19,179","1,080,150","9,879","526,575","553,575"
2019.12,멕시코,"11,407","811,511","6,912","616,241","195,270"
2019.12,독일,"12,883","789,672","210,030","1,956,463","-1,166,791"
2019.12,말레이시아,"15,044","706,421","11,571","941,948","-235,527"
2019.12,필리핀,"9,218","661,613","6,795","272,369","389,245"
2019.12,호주,"10,081","618,957","52,647","1,982,870","-1,363,913"
2019.12,폴란드,"6,842","598,640","3,481","66,753","531,886"
2019.12,태국,"13,701","593,367","13,775","422,480","170,887"
2019.12,러시아 연방,"10,069","571,978","2,207","1,239,237","-667,258"
2019.12,인도네시아,"21,433","567,730","7,420","676,472","-108,742"
2019.12,터키,"6,115","456,863","3,600","125,676","331,187"
2019.12,영국,"8,361","389,963","33,237","363,875","26,088"
2019.12,캐나다,"9,748","373,822","17,829","411,758","-37,936"
2019.12,사우디아라비아,"3,118","366,086",663,"1,526,644","-1,160,558"
2019.12,브라질,"7,665","362,564","1,987","424,654","-62,090"
2019.12,아랍에미리트 연합,"6,029","333,966",542,"1,125,058","-791,092"
2019.12,네덜란드,"7,556","333,858","9,342","425,194","-91,336"
2019.12,이탈리아,"5,117","318,562","81,963","587,249","-268,687"
2019.12,프랑스,"5,865","281,410","19,926","492,749","-211,338"
2019.12,우즈베크,"1,596","244,419",58,"1,775","242,644"
2019.12,스페인,"4,347","238,582","7,322","158,874","79,707"
2019.12,카자흐스탄,"1,272","231,548",52,"89,171","142,377"
2019.12,마샬군도,25,"222,255",30,"80,376","141,880"
2019.12,헝가리,"1,964","210,204","1,496","37,358","172,846"
2019.12,벨기에,"2,011","210,079","2,512","134,516","75,563"
2019.12,파나마,806,"205,720",122,"7,507","198,213"
2019.12,슬로바키아,"1,380","190,317",921,"26,967","163,351"
2019.12,노르웨이,675,"181,516","2,702","170,283","11,233"
2019.12,라이베리아,60,"170,511",51,226,"170,285"
2019.12,쿠웨이트,741,"163,602",54,"928,789","-765,187"
2019.12,이라크,781,"158,209",35,"769,123","-610,914"
2019.12,체코공화국,"2,502","156,123","3,608","78,438","77,685"
2019.12,이집트,"3,678","136,023",998,"64,965","71,057"
2019.12,방글라데시,"2,793","124,426",961,"27,752","96,674"
2019.12,슬로베니아,669,"117,366",459,"10,768","106,597"
2019.12,이스라엘,"2,483","111,286","1,833","72,779","38,508"
2019.12,뉴질랜드,"2,216","106,913","41,766","97,280","9,633"
2019.12,알제리,335,"97,178",17,"136,873","-39,695"
2019.12,오만,"1,001","95,108",76,"233,661","-138,553"
2019.12,콜롬비아,"1,437","95,016",707,"46,059","48,957"
2019.12,스웨덴,"1,302","88,745","6,520","144,321","-55,577"
2019.12,아일랜드,585,"83,747","1,562","89,085","-5,338"
2019.12,칠레,"2,048","83,737","1,378","206,025","-122,287"
2019.12,파키스탄,"1,773","75,798",795,"38,547","37,252"
2019.12,남아프리카공화국,"1,838","69,419",514,"196,857","-127,439"
2019.12,오스트리아,"1,806","67,420","5,003","165,790","-98,371"
2019.12,미얀마,"1,480","66,797",704,"39,302","27,495"
2019.12,페루,"1,238","65,033",822,"168,832","-103,799"
2019.12,캄보디아,"3,087","61,604",734,"29,416","32,188"
